Date,Title,Sentiment
2010-01-04 00:00:00,Global Stocks and Commodities Rally on First Trading Day of 2010,positive
2010-01-04 00:00:00,Dollar Slumps Amid Worldwide Manufacturing Improvement,negative
2010-01-04 00:00:00,Oil Prices Surge Above $81 a Barrel Due to U.S. Cold Weather,negative
2010-01-04 00:00:00,"S&P 500 Sees 1.6 Percent Increase, Hits 15-Month High",positive
2010-01-04 00:00:00,"Argentina's Merval Index Reaches Record High, Brazil's Bovespa Surpasses 70,000",positive
2010-01-04 00:00:00,Natural Gas and Crude Oil Prices Jump Amid U.S. Cold Snap,negative
2010-01-04 00:00:00,"Gold and Copper Prices Rise, with Copper Hitting 16-Month High",indecisive
2010-01-04 00:00:00,U.S. Manufacturing Index Reaches Highest Level in Over Three Years,positive
2010-01-04 00:00:00, Exxon Mobil Corp. and Chevron Corp. Lead Gains in U.S. Energy Shares,positive
2010-01-04 00:00:00, Intel Corp. Shares Rally After Upgrade by Robert W. Baird & Co.,positive
2010-01-04 00:00:00," Dollar Weakens Against Major Currencies, Affecting Gold Prices",negative
2010-01-04 00:00:00, Europe's Dow Jones Stoxx 600 Index Gains 1.5 Percent,positive
2010-01-04 00:00:00, Nestle SA Shares Up After Novartis AG Acquires Stake in Alcon Inc.,positive
2010-01-04 00:00:00," MSCI Asia Pacific Index Climbs, Japan Airlines Corp. Soars 31 Percent",positive
2010-01-04 00:00:00," U.S. Treasury Two-Year Notes Rise, Yields Fall",negative
2010-01-04 00:00:00, PIMCO Reduces Holdings of U.S. and U.K. Government Debt,negative
2010-01-04 00:00:00," MSCI Emerging Markets Index Continues Rally, Predicted to Rise Further",positive
2010-01-05 00:00:00,Dollar Declines Against Yen Following U.S. Housing Report,negative
2010-01-05 00:00:00,U.S. Treasuries Gain as Pending Home Resales Drop,negative
2010-01-05 00:00:00,Oil Prices Approach $82 Amid Cold Weather,negative
2010-01-05 00:00:00,Orange Juice Prices Surge Due to U.S. Freeze,negative
2010-01-05 00:00:00,"Dow Jones Dips Slightly, S&P 500 Sees Gains",indecisive
2010-01-05 00:00:00,U.S. Home Resale Contracts Fall 16% in November,negative
2010-01-05 00:00:00,Analysts Question Sustainability of Post-Stimulus GDP Growth,negative
2010-01-05 00:00:00,"MSCI World Index Up, Emerging Markets Index Hits New High",positive
2010-01-05 00:00:00,Energy Stock Indexes Rise in Resource-Rich Countries,positive
2010-01-05 00:00:00, Cadbury Shares Fall After Berkshire Hathaway Votes Against Kraft Share Issue,negative
2010-01-05 00:00:00, Yen Strengthens Against Major Currencies Amid Exporter Activity,negative
2010-01-05 00:00:00, Dollar Index Shows Minor Gains After Fluctuations,indecisive
2010-01-05 00:00:00, Crude Oil Nears 14-Month High as Cold Weather Boosts Demand,positive
2010-01-05 00:00:00, Refined Sugar Prices Reach Highest Since 1989 on Crop Concerns,negative
2010-01-06 00:00:00,Metals and Energy Commodities Rally Amid Icy Weather Conditions,positive
2010-01-06 00:00:00,"Crude Oil Climbs for 10th Consecutive Day, Longest Streak Since 1996",positive
2010-01-06 00:00:00,Treasuries Fall as Federal Reserve Considers Additional Economic Stimulus,negative
2010-01-06 00:00:00,"Copper Reaches Highest Price Since August 2008, Aluminum Hits 15-Month High",positive
2010-01-06 00:00:00,"Natural Gas Surges 6.6 Percent, Crude Oil Reaches 14-Month High Above $83",positive
2010-01-06 00:00:00,"U.S. May Experience Worst Winter in 25 Years, Impacting Energy Prices",negative
2010-01-06 00:00:00,"S&P 500 Closes at 15-Month High, Awaits U.S. Jobs Report and Earnings Season",positive
2010-01-06 00:00:00,S&P 500 Valuation Reaches Most Expensive Level Since 2002,negative
2010-01-06 00:00:00,U.S. Service Industries Expand Less Than Forecast in December,negative
2010-01-06 00:00:00," Dollar Index Slips, Canadian Dollar Strengthens Against U.S. Currency",negative
2010-01-06 00:00:00, Platinum Futures Rise 1.8 Percent After U.S. Auto Sales Increase,positive
2010-01-06 00:00:00," Treasuries Drop for First Time in Three Days, Mortgage Bond Yields Fall",negative
2010-01-06 00:00:00, Federal Reserve Debates Increasing Asset Purchases in December Meeting,indecisive
2010-01-06 00:00:00, German 10-Year Bond Yields Near Three-Month High After Bond Sale,negative
2010-01-06 00:00:00," Financial Companies Issue $23.8 Billion in Bonds, Largest Since February 2009",positive
2010-01-06 00:00:00, Yen Weakens as Asian Stock Gains Spur Demand for Higher-Yielding Assets,positive
2010-01-06 00:00:00, Marks & Spencer Group Plc Shares Fall 6.8 Percent After Sales Miss Estimates,negative
2010-01-07 00:00:00,U.S. Stocks and Dollar Rise Amid Easing Real-Estate Concerns,positive
2010-01-07 00:00:00,Emerging Market Equities and Commodities Fall as China Curbs Lending,negative
2010-01-07 00:00:00,"S&P 500 Hits 15-Month High, Climbing 0.4 Percent",positive
2010-01-07 00:00:00,"Dollar Strengthens, Affecting Commodity Prices",negative
2010-01-07 00:00:00,Shanghai Composite Index Experiences 1.9 Percent Plunge,negative
2010-01-07 00:00:00,Global Central Banks Signal Potential End to Recession Measures,positive
2010-01-07 00:00:00,Zions Bancorporation Leads Financial Shares Surge in S&P 500,positive
2010-01-07 00:00:00, S&P 500 Valuation Reaches Highest Level Since 2002,negative
2010-01-07 00:00:00," U.S. TIPS Breakeven Rate Widens, Signaling Inflation Expectations",negative
2010-01-07 00:00:00, Australian Dollar Gains on Retail Sales Data,positive
2010-01-07 00:00:00, Czech Central Bank May Increase Interest Rates in Second Half,negative
2010-01-07 00:00:00, MSCI Emerging Markets Index Falls from Peak Valuations,negative
2010-01-07 00:00:00, Copper and Other Metals Prices Decline in New York,negative
2010-01-07 00:00:00, Gold and Crude Oil Prices Retreat in Commodity Markets,negative
2010-01-07 00:00:00, Japanese Finance Minister Signals Preference for Weaker Yen,negative
2010-01-07 00:00:00, U.S. Job Losses Expected to Halt for First Time Since 2007,positive
2010-01-08 00:00:00,U.S. Dollar Declines as Job Cuts Fuel Economic Recovery Concerns,negative
2010-01-08 00:00:00,Treasuries Rise Following Unexpected U.S. Job Losses,negative
2010-01-08 00:00:00,U.S. Stocks Rally Amid Corporate Profit Optimism,positive
2010-01-08 00:00:00,Dollar Index Drops 0.6 Percent Against Major Currencies,negative
2010-01-08 00:00:00,Treasury Yields Fall as Economic Recovery Remains Uncertain,negative
2010-01-08 00:00:00,"S&P 500 Recovers Losses, Driven by UPS Profit Forecast and Alcoa Gains",positive
2010-01-08 00:00:00,"U.S. Job Market Contracts with 85,000 Jobs Lost in December",negative
2010-01-08 00:00:00,Fed's Rosengren Suggests High Unemployment Justifies Continued Low Interest Rates,positive
2010-01-08 00:00:00,"Wholesaler Inventories Surge, Hinting at Increased Orders and Sales",positive
2010-01-08 00:00:00, Fed Funds Futures Indicate Reduced Likelihood of Interest Rate Hike by June,positive
2010-01-08 00:00:00, Dollar Weakens Against Yen and Most-Traded Counterparts,negative
2010-01-08 00:00:00, Two-Year Treasury Note Yields Experience Largest Drop Since December,negative
2010-01-08 00:00:00, Yield Spread Between 2- and 10-Year Notes Nears Record Levels,negative
2010-01-08 00:00:00, U.S. Prepares for Multiple Treasury Auctions in January,indecisive
2010-01-08 00:00:00, S&P 500 Hits Highest Level Since October 2008,positive
2010-01-08 00:00:00," VIX Falls to 20-Month Low, Signaling Decreased Market Volatility",positive
2010-01-08 00:00:00, UPS Shares Surge After Profit Exceeds Estimates,positive
2010-01-08 00:00:00, Alcoa Shares Climb Ahead of Fourth-Quarter Earnings Report,positive
2010-01-11 00:00:00,U.S. Dollar Declines Amid Reduced Bets on Interest Rate Increase,negative
2010-01-11 00:00:00,Treasury Two-Year Notes Gain as Rate Hike Expectations Diminish,positive
2010-01-11 00:00:00,Dollar Index Falls to 76.962 Against Major Currencies,negative
2010-01-11 00:00:00,Copper and Gold Prices Rise as Dollar Weakens,positive
2010-01-11 00:00:00,S&P 500 Index Experiences Fluctuations Amid Mixed Market Signals,indecisive
2010-01-11 00:00:00,Fed Futures Indicate Lower Expectations for Rate Hikes in June and August,positive
2010-01-11 00:00:00,Treasury Yield Spread Hits Record as TIPS Auction Commences,indecisive
2010-01-11 00:00:00, Platinum Reaches 17-Month High Amid Precious Metals Uptick,positive
2010-01-11 00:00:00, U.S. Consumer Shares Fall After Venezuelan Bolivar Devaluation,negative
2010-01-11 00:00:00, Alcoa Inc. Rallies on Optimism for Fourth-Quarter Earnings,positive
2010-01-11 00:00:00, Citigroup Inc. Shares Climb Following Positive Comments from Prince Alwaleed,positive
2010-01-11 00:00:00, Russian Ruble and Stocks Surge as Oil Prices Exceed $83 a Barrel,positive
2010-01-11 00:00:00, European Shares Retreat from 15-Month High on Earnings Speculation,negative
2010-01-12 00:00:00,S&P 500 Drops for First Time This Year Amid Economic Recovery Concerns,negative
2010-01-12 00:00:00,European Stocks Fall Sharply; Bonds Rally,negative
2010-01-12 00:00:00,Yields on 10-Year Treasuries and German Bunds Decline,negative
2010-01-12 00:00:00,Yen Strengthens Across Major Currencies; Crude Oil Prices Fall,negative
2010-01-12 00:00:00,Alcoa Inc.'s Earnings Miss Analyst Estimates; Shares Tumble,negative
2010-01-12 00:00:00,Chevron Corp. Reports Lower Profitability; Stock Slips,negative
2010-01-12 00:00:00,Intel Corp. and JPMorgan Chase & Co. Set to Report Earnings,indecisive
2010-01-12 00:00:00, Analysts Predict S&P 500 Companies' Profits Surged 62% in Fourth Quarter,positive
2010-01-12 00:00:00, MSCI World Index Drops; European Companies Norsk Hydro and Beiersdorf Fall,negative
2010-01-12 00:00:00, Air France-KLM Shares Decline Amid Japan Airlines Bankruptcy Speculation,negative
2010-01-12 00:00:00, U.S. Sells $40 Billion in Three-Year Notes at Record-Tying Auction,positive
2010-01-12 00:00:00," Credit-Default Swaps Index Rises, Indicating Lower Investor Confidence",negative
2010-01-12 00:00:00, MSCI Emerging Markets Index Falls; Bond Yields Rise on Reduced Indonesian Bond Sale,negative
2010-01-13 00:00:00,U.S. and European Stocks Rise on Earnings Optimism and Analyst Upgrades,positive
2010-01-13 00:00:00,Crude Oil Prices Decline Below $80 a Barrel Amid Inventory Gains,negative
2010-01-13 00:00:00,Treasuries Fall as U.S. Economy Shows Improvement in Most Regions,positive
2010-01-13 00:00:00,Dollar Weakens Against Major Currencies as Bonds and Oil Retreat,negative
2010-01-13 00:00:00,Merck & Co. and Wyndham Worldwide Corp. Shares Surge on Buy Recommendations,positive
2010-01-13 00:00:00,MSCI Emerging Markets Index Drops as China Tightens Monetary Policy,negative
2010-01-13 00:00:00,Shanghai Composite Index Experiences Largest Drop Since November,negative
2010-01-13 00:00:00,Pound Strengthens on Speculation of UK Interest Rate Hikes,positive
2010-01-13 00:00:00,Financial and Healthcare Sectors Lead Gains in S&P 500,positive
2010-01-13 00:00:00, Real Estate Companies Rally Following Analyst Upgrades,positive
2010-01-13 00:00:00, Google Inc. Considers Exiting China After Cyber Attack,negative
2010-01-13 00:00:00, Foreign Central Banks Show Reduced Appetite for U.S. 10-Year Notes,negative
2010-01-13 00:00:00," German GDP Contracts by 5% in 2009, Debt Auctions Continue in Europe",negative
2010-01-13 00:00:00, Infineon Technologies AG Rises on Goldman Sachs Recommendation,positive
2010-01-13 00:00:00, Societe Generale SA Shares Decline After Announcing Asset Writedowns and Provisions,negative
2010-01-14 00:00:00,U.S. Stocks Rise as Technology Shares Gain Ahead of Intel Earnings,positive
2010-01-14 00:00:00,Unexpected Drop in Retail Sales Leads to Higher Treasury Prices,negative
2010-01-14 00:00:00,Euro Declines as ECB President Trichet Highlights Uncertain Regional Outlook,negative
2010-01-14 00:00:00,ECB Shortlists Buch and Delgado for Eurozone Bank Watchdog Role,indecisive
2010-01-14 00:00:00,ECB Consumer Survey and Eurozone Producer Prices Scheduled for Release,indecisive
2010-01-14 00:00:00,Euro Volatility Increases as Market Reacts to Data Reports,negative
2010-01-14 00:00:00,"Eurozone Consumer Inflation Expectations Fall in May, ECB Reports",negative
2010-01-14 00:00:00,Upcoming FOMC Minutes Expected to Reveal Debate on Hawkish Policy Stance,indecisive
2010-01-15 00:00:00,U.S. Stocks and Commodities Fall as Dollar and Treasuries Rise,negative
2010-01-15 00:00:00,"JPMorgan Chase & Co. Retail Bank Reports Loss, Affecting Market Sentiment",negative
2010-01-15 00:00:00,"S&P 500 Drops 1.1 Percent, Moving Away from 15-Month High",negative
2010-01-15 00:00:00,"Dollar Strengthens Against Major Currencies, Euro Declines",negative
2010-01-15 00:00:00,JPMorgan Shares Decrease by 2.3 Percent After Quarterly Results,negative
2010-01-15 00:00:00,ECB President Trichet's Comments Increase Concern Over Greek Debt,negative
2010-01-15 00:00:00,"Euro Weakens Against Yen and Pound, Dollar Index Rises",negative
2010-01-15 00:00:00, MSCI Asia Pacific Index Reaches Highest Level Since August 2008,positive
2010-01-15 00:00:00, MSCI Emerging Markets Index Drops 0.3 Percent,negative
2010-01-15 00:00:00, Oil Prices Decline for Fifth Consecutive Day,negative
2010-01-15 00:00:00, Soybeans Mark Biggest Weekly Decline Since September,negative
2010-01-18 00:00:00,Oil Prices Rise for First Time in Six Days Amid Demand Recovery Speculation,positive
2010-01-18 00:00:00,Copper Prices Increase on Positive Demand Outlook,positive
2010-01-18 00:00:00,Global Stocks and British Pound Gain on Economic Optimism,positive
2010-01-18 00:00:00,UK House Prices Show Increase in Recent Survey,positive
2010-01-18 00:00:00,IMF's Strauss-Kahn Warns Against Early Withdrawal of Stimulus Packages,negative
2010-01-18 00:00:00,"Canadian S&P/TSX Composite Index Rises, Led by Energy Stocks",positive
2010-01-18 00:00:00,European Stocks Climb as Metals Prices Boost Basic-Resource Producers,positive
2010-01-18 00:00:00," Brazil's Bovespa Index Up, Boosted by Petroleo Brasileiro SA",positive
2010-01-18 00:00:00, Pound Strengthens as UK House Prices Increase in January,positive
2010-01-18 00:00:00, MSCI Asia Pacific Index Falls After JPMorgan Chase Loss and US Consumer Confidence Miss,negative
2010-01-19 00:00:00,"U.S. Stocks Rise, Health Companies Lead Rally",positive
2010-01-19 00:00:00,Treasuries Fall for First Time in Three Days,negative
2010-01-19 00:00:00,Dollar Strengthens Against Major Trading Partners,negative
2010-01-19 00:00:00,S&P 500 Reaches 15-Month High,positive
2010-01-19 00:00:00,10-Year Treasury Yield Rises to 3.7 Percent,negative
2010-01-19 00:00:00,Dollar Index Rallies 0.5 Percent,positive
2010-01-19 00:00:00,"European Stocks Recover, Dow Jones Stoxx 600 Index Up",positive
2010-01-19 00:00:00,U.K. Inflation Rate Sees Record Increase,negative
2010-01-19 00:00:00,Oil Prices Rebound After Five-Day Decline,positive
2010-01-19 00:00:00, Health-Care Stocks Surge on U.S. Political Speculation,positive
2010-01-19 00:00:00, Merck & Co. and Pfizer Inc. Gain Over 2.6 Percent,positive
2010-01-19 00:00:00," Technology Shares Advance, Ciena Corp. Surges 11 Percent",positive
2010-01-19 00:00:00, S&P 500 Earnings Expected to Increase 67 Percent in Q4,positive
2010-01-19 00:00:00, S&P 500 Valuations Reach Seven-Year High,negative
2010-01-19 00:00:00, MSCI World Index Companies Trade Near Highest P/E Since 2002,negative
2010-01-19 00:00:00, German Investor Confidence Falls More Than Expected,negative
2010-01-19 00:00:00," British Pound Strengthens, U.K. Consumer Prices Up 2.9 Percent",negative
2010-01-19 00:00:00, U.K. Government Bonds Yield Rises After Inflation Report,negative
2010-01-19 00:00:00, Mitsubishi UFJ Financial Group Income from Lending May Slump,negative
2010-01-19 00:00:00, Shanghai Considers Allowing Individual Overseas Investments,positive
2010-01-19 00:00:00, Copper Futures Rise on Strong Demand from China,positive
2010-01-19 00:00:00, Crude Oil Climbs as U.S. Equities Increase,positive
2010-01-19 00:00:00, U.S. Corporate Bond Default Swaps Index Reaches Two-Week High,negative
2010-01-20 00:00:00,S&P 500 Drops from 15-Month High Amid China Lending Concerns,negative
2010-01-20 00:00:00,Commodities Fall as Dollar and Treasuries Strengthen,negative
2010-01-20 00:00:00,"Morgan Stanley, CSX Corp., and IBM Quarterly Results Disappoint",negative
2010-01-20 00:00:00,Shanghai Composite Index Hits Year's Lowest Level; Bovespa Sees Major Drop,negative
2010-01-20 00:00:00,Dollar Rises Against All 16 Major Currencies,positive
2010-01-20 00:00:00,10-Year Treasury Yield Decreases to 3.66 Percent,negative
2010-01-20 00:00:00,Gold and Oil Prices Tumble by at Least 2 Percent,negative
2010-01-20 00:00:00,Liu Mingkang Announces Chinese Banks to Reduce Lending,negative
2010-01-20 00:00:00, Analysts' Forecasts for 67 Percent Profit Increase Questioned After Earnings Season,negative
2010-01-20 00:00:00, IBM and CSX Corp. Shares Fall Following Revenue Declines,negative
2010-01-20 00:00:00, Dollar Strengthens Significantly Against New Zealand Dollar,negative
2010-01-20 00:00:00, Canadian Dollar Weakens After Consumer Prices Rise,negative
2010-01-20 00:00:00, Euro Hits Five-Month Low; Greek Bonds Yield Surge,negative
2010-01-20 00:00:00, IMF and European Commission Express Concern Over Greek Budget Deficit,negative
2010-01-20 00:00:00, Dow Jones Stoxx 600 Index Suffers Biggest Retreat Since December,negative
2010-01-20 00:00:00, Credit-Default Swaps Indicate Declining Investor Confidence,negative
2010-01-20 00:00:00, Petrobras Leads Decline in Brazilian Market Amid China Concerns,negative
2010-01-20 00:00:00, Crude Oil and Gold Futures Experience Significant Losses,negative
2010-01-20 00:00:00, Copper Futures Mark Largest Drop Since October,negative
2010-01-20 00:00:00, Energy and Raw-Materials Producers Lead S&P 500 Declines,negative
2010-01-21 00:00:00,S&P 500 and MSCI Emerging Markets Index Suffer Significant Losses,negative
2010-01-21 00:00:00,President Obama Proposes Bank Reforms to Limit Risk-Taking,indecisive
2010-01-21 00:00:00,Financial Sector Hit Hard by Obama's Proposed Banking Restrictions,negative
2010-01-21 00:00:00,U.S. Treasuries Rise as Investors Seek Safety Amidst Market Volatility,negative
2010-01-21 00:00:00,"Initial Jobless Claims Increase, Adding Pressure to U.S. Stock Market",negative
2010-01-21 00:00:00,Bank of America and JPMorgan Chase Lead Financials Index Downward,negative
2010-01-21 00:00:00,Analysts Predict S&P 500 Earnings Growth Despite Market Challenges,positive
2010-01-21 00:00:00, U.S. Dollar Strengthens Against Major Currencies Amidst Risk Aversion,negative
2010-01-21 00:00:00," Gold, Aluminum, and Copper Prices Decline as Commodities Market Slips",negative
2010-01-21 00:00:00, Federal Reserve Bank of Philadelphia's Economic Index Falls Short of Expectations,negative
2010-01-21 00:00:00," Interest-Rate Swap Spreads Widen, Reflecting Increased Market Caution",negative
2010-01-21 00:00:00, Credit-Default Swaps on Goldman Sachs and Morgan Stanley Rise Post-Reform Proposal,negative
2010-01-21 00:00:00, Emerging Market Equities Drop in Response to China's Accelerated Growth,negative
2010-01-21 00:00:00, Crude Oil Prices Fall as U.S. Gasoline Supplies Increase,negative
2010-01-21 00:00:00, European Shares Drop Following U.S. Market Decline,negative
2010-01-22 00:00:00,Global Stocks and Commodities Decline Amid Obama's Banking Proposal and China's Rate Hike Concerns,negative
2010-01-22 00:00:00,"S&P 500 Suffers 5.1% Three-Day Plunge, Largest Since March Low",negative
2010-01-22 00:00:00,European Bank Stocks Hit Six-Month Low as Dow Jones Stoxx 600 Banks Index Drops 1.9%,negative
2010-01-22 00:00:00,"MSCI Emerging Markets Index Records 4.7% Weekly Loss, Largest Since October",negative
2010-01-22 00:00:00,U.S. Treasury Yields See Slight Increase Despite Weekly Gain,negative
2010-01-22 00:00:00,Financial Sector Earnings Recovery Threatened by Obama's Banking Plan,negative
2010-01-22 00:00:00,Uncertainty Over Bernanke's Fed Chair Reconfirmation Adds to Market Losses,negative
2010-01-22 00:00:00,S&P 500 and Dow Jones Erase 2010 Gains Amid Market Sell-Off,negative
2010-01-22 00:00:00,VIX Index Witnesses Largest Three-Day Surge Since 2007,negative
2010-01-22 00:00:00, JPMorgan Chase & Co. and Bank of America Corp. Shares Tumble Over 3.4%,negative
2010-01-22 00:00:00, Analysts Predict 114% Earnings Increase for Financial Companies in Q4,positive
2010-01-22 00:00:00, MSCI World Index Marks Longest Losing Streak in Over a Month,negative
2010-01-22 00:00:00, U.S. Dollar Weakens Against Euro and Yen After Recent Gains,negative
2010-01-22 00:00:00," Corporate Bond Rally Stalls, Borrowing Costs Rise from Two-Year Lows",negative
2010-01-22 00:00:00, Credit-Default Swaps Indicate Increased Concern Over U.S. Corporate Defaults,negative
2010-01-22 00:00:00," Emerging Market Stocks Drop, Led by Kazakhstan's KASE Index",negative
2010-01-22 00:00:00, Shanghai Composite Index Down 4.5% for the Year,negative
2010-01-22 00:00:00," Crude Oil Prices Hit One-Month Low, Gold Futures Fall 1.2%",negative
2010-01-25 00:00:00,U.S. Stocks Rise Amid Investor Confidence in Bernanke's Reconfirmation as Fed Chair,positive
2010-01-25 00:00:00,Yen and Dollar Weaken as Investors Shift to Higher-Yielding Currencies,negative
2010-01-25 00:00:00,Two-Year Treasury Yields Increase as Notes Retreat,negative
2010-01-25 00:00:00,S&P 500 Recovers from Largest Three-Day Decline Since March,positive
2010-01-25 00:00:00,Hang Seng Index Enters Correction Territory with 10 Percent Loss Since November,negative
2010-01-25 00:00:00,Goldman Sachs and Wells Fargo Shares Climb; AK Steel Surges on Profit Beat,positive
2010-01-25 00:00:00,Bank of Japan Considers Expanding Loan Program and Government Debt Purchases,positive
2010-01-25 00:00:00,U.S. Corporate Bond Default Swaps Hold Near Six-Week High,negative
2010-01-25 00:00:00, U.S. Economy Projected to Have Grown at Fastest Rate in Four Years,positive
2010-01-25 00:00:00, Ericsson AB Profit Plummets by 92 Percent,negative
2010-01-25 00:00:00, Royal Philips Electronics NV Posts Third Consecutive Quarterly Profit,positive
2010-01-25 00:00:00, Asian Shares Fall; Bank of China and Honda Motor Co. Shares Decline,negative
2010-01-25 00:00:00, MSCI Emerging Markets Index Drops Below One-Month Low,negative
2010-01-25 00:00:00, Copper and Precious Metals Prices Rise in Commodity Markets,positive
2010-01-25 00:00:00, Crude Oil Rebounds Above $75 a Barrel as Equities Recover,positive
2010-01-26 00:00:00,Stocks and Commodities Fall as Dollar and Treasuries Rise,negative
2010-01-26 00:00:00,S&P 500 Drops 0.4 Percent Amid Economic Concerns,negative
2010-01-26 00:00:00,MSCI Asia-Pacific Index Declines for Seventh Consecutive Day,negative
2010-01-26 00:00:00,U.S. Treasury Yields Near Yearly Low After $44 Billion Auction,negative
2010-01-26 00:00:00,Standard & Poor's Lowers Outlook on Japan's Credit Rating,negative
2010-01-26 00:00:00,Verizon Shares Fall 1.7 Percent on Disappointing Quarterly Results,negative
2010-01-26 00:00:00,"U.S. Consumer Confidence Rises, Exceeding Bloomberg Survey Estimates",positive
2010-01-26 00:00:00,Apple and Travelers Stocks Up After Surpassing Quarterly Expectations,positive
2010-01-26 00:00:00, Federal Reserve Expected to Maintain Interest Rates Near Zero,indecisive
2010-01-26 00:00:00, S&P 500 Earnings Slump Ends with Projected 73 Percent Profit Increase,positive
2010-01-26 00:00:00, European Governments Face 2.2 Trillion Euro Borrowing in 2010,negative
2010-01-26 00:00:00, IMF Raises Global Economic Growth Forecast to 3.9 Percent,positive
2010-01-26 00:00:00, Emerging Markets Index Falls; Brazil's Bovespa Down 1.1 Percent,negative
2010-01-26 00:00:00, South Korean Won Leads Currency Declines Against Strengthening Dollar,negative
2010-01-26 00:00:00, Two-Year Treasury Auction Yields Near Record Low,negative
2010-01-26 00:00:00, Crude Oil and Copper Prices Retreat Amid China's Economic Measures,negative
2010-01-27 00:00:00,U.S. Stocks Rise as Fed Commits to Low Interest Rates,positive
2010-01-27 00:00:00,Global Equities Fall for Sixth Consecutive Day,negative
2010-01-27 00:00:00,Oil Prices Drop to Five-Week Low,negative
2010-01-27 00:00:00,Yen Weakens Against Major Currencies,negative
2010-01-27 00:00:00,Dollar Strengthens Amidst Global Financial Concerns,negative
2010-01-27 00:00:00,Fed Plans to End Mortgage-Backed Securities Purchase Program in March,negative
2010-01-27 00:00:00,Caterpillar Inc. Shares Fall After Profit Forecast Misses Estimates,negative
2010-01-27 00:00:00,S&P 500 Ends Earnings Slump with 73% Profit Increase,positive
2010-01-27 00:00:00, U.S. New-Home Purchases Decline to Lowest Since March,negative
2010-01-27 00:00:00, Analysts Anticipate Central Banks in Emerging Markets to Raise Interest Rates,negative
2010-01-27 00:00:00, Credit Risk Increases as Investors Seek Protection Against Sovereign Defaults,negative
2010-01-27 00:00:00, Gasoline Supplies Reach Highest Level Since March 2008,indecisive
2010-01-27 00:00:00," European Financial Shares Retreat, Leading Stoxx 600 Index Lower",negative
2010-01-27 00:00:00, Asian Stocks Experience Longest Losing Streak Since May 2005,negative
2010-01-27 00:00:00, Emerging Markets Index Continues Slump Amidst Lending Curbs and Rate Hike Speculations,negative
2010-01-28 00:00:00,U.S. Stocks Decline as Qualcomm's Forecast Disappoints Investors,negative
2010-01-28 00:00:00,Dollar and Short-Term Treasuries Rise on Safety Demand,negative
2010-01-28 00:00:00,"S&P 500 Hits Lowest Since November, Dow Jones Stoxx 600 Falls",negative
2010-01-28 00:00:00,Dollar Index Reaches Five-Month High Against Major Counterparts,negative
2010-01-28 00:00:00,Copper Prices Experience Biggest Three-Day Slump in 13 Months,negative
2010-01-28 00:00:00,"Global Economy Remains Fragile, Earnings Picture Mixed",negative
2010-01-28 00:00:00,MSCI World Index Declines for Seventh Consecutive Day,negative
2010-01-28 00:00:00,"Euro Weakens Against Major Currencies, Hits Six-Month Low Versus Dollar",negative
