Title,Global Sentiment
Global Stocks and Commodities Rally on First Trading Day of 2010,1
Dollar Slumps Amid Worldwide Manufacturing Improvement,0
Oil Prices Surge Above $81 a Barrel Due to U.S. Cold Weather,1
"S&P 500 Sees 1.6 Percent Increase, Hits 15-Month High",1
"Argentina's Merval Index Reaches Record High, Brazil's Bovespa Surpasses 70,000",1
Natural Gas and Crude Oil Prices Jump Amid U.S. Cold Snap,1
"Gold and Copper Prices Rise, with Copper Hitting 16-Month High",1
U.S. Manufacturing Index Reaches Highest Level in Over Three Years,1
 Exxon Mobil Corp. and Chevron Corp. Lead Gains in U.S. Energy Shares,1
 Intel Corp. Shares Rally After Upgrade by Robert W. Baird & Co.,1
" Dollar Weakens Against Major Currencies, Affecting Gold Prices",-1
 Europe's Dow Jones Stoxx 600 Index Gains 1.5 Percent,1
 Nestle SA Shares Up After Novartis AG Acquires Stake in Alcon Inc.,0
" MSCI Asia Pacific Index Climbs, Japan Airlines Corp. Soars 31 Percent",1
" U.S. Treasury Two-Year Notes Rise, Yields Fall",1
 PIMCO Reduces Holdings of U.S. and U.K. Government Debt,1
" MSCI Emerging Markets Index Continues Rally, Predicted to Rise Further",1
Dollar Declines Against Yen Following U.S. Housing Report,1
U.S. Treasuries Gain as Pending Home Resales Drop,1
Oil Prices Approach $82 Amid Cold Weather,0
Orange Juice Prices Surge Due to U.S. Freeze,1
"Dow Jones Dips Slightly, S&P 500 Sees Gains",0
U.S. Home Resale Contracts Fall 16% in November,1
Analysts Question Sustainability of Post-Stimulus GDP Growth,1
"MSCI World Index Up, Emerging Markets Index Hits New High",1
Energy Stock Indexes Rise in Resource-Rich Countries,1
 Cadbury Shares Fall After Berkshire Hathaway Votes Against Kraft Share Issue,0
 Yen Strengthens Against Major Currencies Amid Exporter Activity,1
 Dollar Index Shows Minor Gains After Fluctuations,1
 Crude Oil Nears 14-Month High as Cold Weather Boosts Demand,0
 Refined Sugar Prices Reach Highest Since 1989 on Crop Concerns,0
Metals and Energy Commodities Rally Amid Icy Weather Conditions,1
"Crude Oil Climbs for 10th Consecutive Day, Longest Streak Since 1996",1
Treasuries Fall as Federal Reserve Considers Additional Economic Stimulus,0
"Copper Reaches Highest Price Since August 2008, Aluminum Hits 15-Month High",1
"Natural Gas Surges 6.6 Percent, Crude Oil Reaches 14-Month High Above $83",1
"U.S. May Experience Worst Winter in 25 Years, Impacting Energy Prices",0
"S&P 500 Closes at 15-Month High, Awaits U.S. Jobs Report and Earnings Season",0
S&P 500 Valuation Reaches Most Expensive Level Since 2002,0
U.S. Service Industries Expand Less Than Forecast in December,0
" Dollar Index Slips, Canadian Dollar Strengthens Against U.S. Currency",-1
 Platinum Futures Rise 1.8 Percent After U.S. Auto Sales Increase,1
" Treasuries Drop for First Time in Three Days, Mortgage Bond Yields Fall",1
 Federal Reserve Debates Increasing Asset Purchases in December Meeting,0
 German 10-Year Bond Yields Near Three-Month High After Bond Sale,1
" Financial Companies Issue $23.8 Billion in Bonds, Largest Since February 2009",0
 Yen Weakens as Asian Stock Gains Spur Demand for Higher-Yielding Assets,1
 Marks & Spencer Group Plc Shares Fall 6.8 Percent After Sales Miss Estimates,-1
U.S. Stocks and Dollar Rise Amid Easing Real-Estate Concerns,1
